"bornoil_urls_link","bornoil_urls_date_date","bornoil_urls_date_user","bornoil_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Dec 31, 2018 3:36 PM","char1234","run...cut loss.This share will bled u to death"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 1, 2019 8:59 AM","Sales","Hi Bruce! Are you still in this forum! By the way Happy New Year to you and i3 members. Huat ah!!!!!!!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 2, 2019 1:59 AM","FarmbesFlyer","Cheap cheap. Buy more"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 4, 2019 9:54 AM","nich0las","Wahaha, this Bornoil i sold at 0.065. Now 0.040. Still earnings. kikiki... Thanks for wan advice. and others.
Where is that guy always up up up bornoil one? where is bonus2015? haha.."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 4, 2019 11:11 AM","Pilotsport","Fgv Tolong support sikit"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 4, 2019 12:13 PM","char1234","up up up....screw me once when i ask ppl get out from this counter"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 4, 2019 12:13 PM","char1234","i say again get out before it bleed yr $"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 4, 2019 6:48 PM","alexisvics","Wan...why are you sharing the same info over and over again. Do you have other info?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 6, 2019 2:04 AM","icezai96","bruce gone aldy? 2019 who still here?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 6, 2019 3:12 PM","LouiseS","Earning per share in last 10 quarters range from -0.13 to 0.7sen, making losses in 2 out of 10 quarters.
https://louisesinvesting.blogspot.com/2019/01/comments-on-borneo-oil-b..."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 6, 2019 3:51 PM","Crasd123","Bornoil EPS rm1.50, fair value rm150, i hv colllect from 0.06 ...00.03......waitning rm1.50.....2022 sold out"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 9, 2019 10:12 AM","bone","What rubbish u talking crasd"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 9, 2019 1:10 PM","Play00","Victoria Capital loses the most..."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 9, 2019 1:11 PM","Play00","Woodswater, how much share you holding now?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 9, 2019 7:22 PM","Woodswater","300k"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 14, 2019 1:00 AM","FarmbesFlyer","Cheap cheap!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 14, 2019 10:16 AM","Sales","This stock have to wait for years. Test my patience."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 14, 2019 9:49 PM","FarmbesFlyer","Patience will pay off one day!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 14, 2019 9:50 PM","FarmbesFlyer","I have collected a lot since last few weeks with no regret. Will buy more."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 15, 2019 12:46 AM","bone","why so confidence? What future prospect? Gold mining is getting worst, check production report. Sugarbun pezzo bizness is stagnant or dropping.. so call cement business is just pure talk and nothing materialize"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 15, 2019 4:43 PM","Zali Daud","Hari ini volume mencecah 24m, tertinggi dalam 30 T-day. Ada apa-apa berita baik?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 16, 2019 12:04 AM","nich0las","Gold? Counter awaiting to consolidated. Good luck guys!
Old News : https://www.klsescreener.com/v2/news/view/397497/borneo-oil-exits-lipi..."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 16, 2019 3:50 PM","Orson Chin","Move back to 0.50....
Still need time"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 16, 2019 5:07 PM","Sales","Can move to 0.25 is good enough. Many i3 forum members hold at 0.19. Good luck!!!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 16, 2019 5:09 PM","firewall9301","Those Employees who bought ESOS with their hard earned monies...what do they think of their employer?? Sharing the ""goodies"" of their company? ."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 19, 2019 9:08 AM","bone","ESOS is not necessary paid from employee own pockets. They can also be given to employee free as “bonus”"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 20, 2019 4:16 PM","bruce551133","sales...i'm back...up up up...bornoil... :-D :-D :-D"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 20, 2019 6:47 PM","char1234","As long as d inside management dont change, shsreholders will die.."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 21, 2019 2:36 PM","Sales","Hi bruce551133! Wow! You are back! Where have you been? Without you here this forum a bit quiet."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 22, 2019 11:48 AM","Sales","The market is very hot. What happen to Bornoil????"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 22, 2019 5:03 PM","myrKing","will bornoil go up?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 23, 2019 10:02 AM","Woodswater","Watch out ! Buying mood is evolve at 50/55 c .
Wakakakaka"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 24, 2019 1:15 PM","luckydarkie","apa bisnes company ini?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 24, 2019 3:45 PM","Woodswater","Luckydarkie , kompany Bornoil ni Jual Pisang EMAS !"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 24, 2019 10:31 PM","firewall9301","Cocky answer to a not clever Question !"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 25, 2019 12:27 AM","Orson Chin","Gold mining still operation ?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 25, 2019 12:27 AM","alantan",""
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 25, 2019 10:01 AM","OngLai88","wait for share consolidation..to trim the shares issued to below 1billion."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 28, 2019 1:34 PM","bone","Even consolidate the company not making money? Whats the point?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 28, 2019 8:44 PM","birdparadise","Bruce what happened to you, Iris n jag also miss you lah ,c ini kali up up up lagi boleh pakai lah?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 29, 2019 12:12 AM","firewall9301","Bruce woke up so is price of Gold...Next price of Bornoil? Cheers"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 29, 2019 5:08 PM","firewall9301","Gold production DOWN. This production report is shit. No comments to its level of production? Cheap n useless reporting."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 29, 2019 10:44 PM","FarmbesFlyer","Cheap cheap, buy more today."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 31, 2019 9:30 AM","Yun Hin Chong","really pity those bought esos."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 31, 2019 12:20 PM","quest","what happened to today's volume, everyone jump ship liao ah?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Jan 31, 2019 10:38 PM","Sales","Bruce, all the i3 members missed you. We need you here."
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Feb 1, 2019 10:12 PM","Sales","Happy Chinese New Year to all the i3 members. Huat ah!!!!!! Ong ah!!!!!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Feb 2, 2019 10:44 AM","Ameera","This counter still hv hope?"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Feb 5, 2019 1:34 AM","FarmbesFlyer","No need to hope! Will fly up one day!!"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=398","Feb 13, 2019 10:33 AM","Tee Ooi","bila nak mampus company ni? tak naik langsung"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=399","Feb 15, 2019 9:21 PM","Crasd123","Borniol future rm33, back to yr 1992, Sugar bun is Bornoil rm33"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=399","Feb 18, 2019 2:51 PM","BananaGoreng","Goreng Goreng"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=399","Feb 18, 2019 3:01 PM","firewall9301","Buy Back spree from Mgmt of Bornoil. No Ang pow this year. Maybe duit HRaya later. Cheers"
"https://klse.i3investor.com/servlets/forum/800001255.jsp?ftp=399","Feb 18, 2019 5:59 PM","Cojack31","Up..up..will fly soon.."
