"cmsb_ruls_link","cmsb_ruls_date_date","cmsb_ruls_date_user","cmsb_ruls_date_comments"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 11:27 AM","Tongkarat","Kasik hantam sama dia...."
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 11:29 AM","KAQ4468","tutttt tuttttt
MA sudah pecah
tutttt tuttttt.... keretapi heading to KL Sentral"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 11:30 AM","KAQ4468","Tongkarat : Kasik hantam sama dia....
14/12/2018 11:27
relax dulu
1.50 kita hantam la"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 12:04 PM","Jackynck","rm1.50 and rm2 impossible la, rm2.50 possible la..."
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 12:07 PM","Tongkarat","Kasik hantam lagi...hantam kuat kuat"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 12:43 PM","KAQ4468","our KLSE only dropped 10%
Dow Jones only dropped 10%
heavy correction are coming knocking the door
hihihihihih....next year Q2 and Q3 will trigger the correction"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 4:53 PM","zhouxingxing","cirit cirit"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 4:56 PM","KAQ4468","let Dow Jones back to 17k or 18k
bursa back to 1.3k 0r 1.4k
only then we shopping"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 14, 2018 6:29 PM","Tongkarat","Aiyoooooooooooooooooooooooooo....aiyoyo"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 17, 2018 10:03 AM","KAQ4468","aiyaaaaaaaa
ini Cahaya Mata or Air Mata ????"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 17, 2018 1:36 PM","davidkkw79","Ass mata"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 17, 2018 3:40 PM","Ngo Jeechin","Patient, wait till 2.60 on weekend"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 17, 2018 5:15 PM","KAQ4468","tuttttt tuttttttt
keretapi confirmed tergelincir
MA koyakkkkkk"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 18, 2018 9:05 AM","zhouxingxing","cirit cirit day"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 18, 2018 9:07 AM","KAQ4468","tutttt tuuttttt tuutttttt
keretapi heading to KL Sentral
tuttt tuutttt tutttt
cirit birit sepanjang jalan"
"https://klse.i3investor.com/servlets/forum/800000495.jsp?ftp=75","Dec 19, 2018 11:19 AM","novice77","CMSB is weaning off TPS. All staff get two months bonus but TPS staff get a few peanuts this year."
