"do_urls_link","do_urls_date_date","do_urls_date_user","do_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 7, 2018 5:20 PM","likewise","D&O consider quite ok if compare to others, I bought in not the good timing."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 7, 2018 5:36 PM","warren buntut","0.725 I will buy"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 8, 2018 10:05 AM","loonginv","bought in bad timing.......now become long term invest....."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 8, 2018 6:57 PM","warren buntut","DOW SINK 550. d&o continue sink on monday"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 10, 2018 9:02 AM","likewise","chance to enter"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 10, 2018 12:07 PM","warren buntut","not yet"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 10, 2018 3:06 PM","RocketRider","Keep dropping :("
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 10, 2018 4:29 PM","likewise","everywhere is bleeding wait to enter....."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 10, 2018 11:56 PM","Tete7893","0.725 u also not dare to enter"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 11, 2018 8:25 PM","KSL5242","Reenter today at 750....dividend as gift in holding"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 12, 2018 5:48 PM","warren buntut","1 tomorrow"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 12, 2018 6:07 PM","Bruce Lee Shi Yi","Increased share units
http://www.bursamalaysia.com/market/listed-companies/company-announcem..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 10:12 AM","likewise","buy in again haha"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 10:23 AM","AiOne Corner",":) .. Nice, Good Luck ..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 10:52 AM","likewise","aiyo lack of luck"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 11:14 AM","AiOne Corner","musim tengkujuh ...
may b, the monsoon season, a lot of work is down for the moment .."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 11:16 AM","AiOne Corner","surely , your lucky day will come .. :)"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 11:22 AM","likewise","haiz..... hope for the rebound, dow future is green"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 1:32 PM","likewise","ooooooooohhhhh really bad luck !!!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 1:40 PM","Ivan89","How now"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 2:39 PM","kenlee","buy more lor haha"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 18, 2018 5:26 PM","likewise","esos price is above current price already"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 22, 2018 7:07 PM","loonginv","coming qtr profit will be history high, think this stock had been in the watch list of many fund, jgn tak bli"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 22, 2018 7:30 PM","... 13investor","yes, but following quarter will be extremely bad"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 22, 2018 7:30 PM","... 13investor","now the price will be going to hit low"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 22, 2018 11:09 PM","loonginv","perhaps"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 27, 2018 11:41 AM","likewise","sold and have kfc only. tq"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 27, 2018 12:04 PM","AiOne Corner","bit early... cukupka .. kfc ka.. brp orang makann.. ? :D"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Dec 27, 2018 12:08 PM","likewise","haha family meal only. tq"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 10, 2019 11:54 AM","Ivan89","Can buy?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 10, 2019 4:56 PM","nanas","cannot. red already"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 10, 2019 5:14 PM","loonginv","walao eh, hari2 esos..........."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 10, 2019 8:49 PM","Tete7893","USD vs MYR tech stock will follow like glove counter"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 10, 2019 9:07 PM","Ivan89","Tmr up or down??"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 15, 2019 2:59 PM","k6ii","bila akan goreng...."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 16, 2019 9:54 PM","d_trade","https://www.thestar.com.my/business/business-news/2019/01/16/publicinv..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 18, 2019 10:56 AM","edmen","don't know who selldown...."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 18, 2019 10:57 AM","edmen","many got trapped yesterday....I guess back to support level 0.690"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 18, 2019 7:35 PM","Tete7893","EPF lah. i direct cut lose"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 11:28 AM","likewise","very good counter but can't up"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 4:24 PM","likewise","0.695 gone..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 4:25 PM","moneylailai","should cut loss or can wait for it bounce back?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 4:46 PM","loonginv","good bargain now :)"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 4:54 PM","VenFx","Agree"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 4:59 PM","likewise","wait lower to enter haha"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 5:25 PM","jackMaDe","0.695 good to enter?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 5:43 PM","VenFx","Spread your entry, gonna good."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 11:54 PM","char1234","good advice....good share"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 22, 2019 11:57 PM","char1234","may hv to wait a while....looks like goreng ended"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=25","Jan 23, 2019 4:53 PM","char1234","im going to buy in soon...."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 25, 2019 8:50 AM","Mar2083","Can start buy?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 25, 2019 4:47 PM","char1234","buy to keep can...contra.Dont ."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 25, 2019 4:48 PM","char1234","VenFx say slowly buy.I agree .."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 26, 2019 4:39 PM","Tyson Chan","https://m.facebook.com/story.php?story_fbid=293175881556706&id=232..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 28, 2019 9:51 AM","targetinvest","Go lo"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 28, 2019 9:52 AM","targetinvest","This today or tomorrow issue is blow up see how high can go"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 28, 2019 11:42 AM","Shinnzaii","Interesting...hehe"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 28, 2019 8:31 PM","char1234","ur statement ...'blow up ' ...makes me feel soooo happy"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 28, 2019 8:31 PM","honeydream",""
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 29, 2019 1:47 PM","targetinvest","https://klse.i3investor.com/m/blog/targetinvest/191743.jsp
Faster in lo"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 29, 2019 1:47 PM","targetinvest","Now support line price.. good good"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 29, 2019 9:22 PM","targetinvest","tomorrow buy in again"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Jan 30, 2019 10:26 PM","loonginv","acquired new company of IC chip, enhance supply chain. interesting, still can buy at 0.7 or not ?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 4, 2019 3:54 PM","keyin","Do also huat ah"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 10:27 AM","targetinvest","就快来了"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 10:28 AM","targetinvest","Get ready also to 发财"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 11:21 AM","targetinvest","Prospectus good.. all bagus bagus ada habgat"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 11:21 AM","targetinvest","Ada hangat"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 11:37 AM","keyin","Gooo"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 11:42 AM","Mar2083","Coming soon"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 7, 2019 1:32 PM","targetinvest","Apa api sudah start"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 12:51 PM","thesteward","After lunch kaboom"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 4:07 PM","targetinvest","Yeah!!!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 4:07 PM","targetinvest","up boom boom already lo.. now happy la"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 4:33 PM","Smart_invest","wait qr result out, another round of rocket up"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 10:05 PM","Mar2083","Continue up tomorrow?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 11, 2019 10:47 PM","Smart_invest","based on today price movement, tmr should be up... then sideway for few day then continue for its going up engine.....see tmr can break 0.78 huge resistance or not"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 12, 2019 11:54 AM","ddd ccc","Wait for short term player sell their holding part then it will move up I think"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 13, 2019 8:16 AM","jcpy","The business prospects of D&O should be good this year, if not better, considering Geely strong sales in Jan 2019.
https://asia.nikkei.com/Business/Markets/Nikkei-Markets/Chinese-auto-s..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 14, 2019 7:02 PM","jcpy","Just another sharing abt the record sales achieved by Volvo, a major client of D&O.
https://www.media.volvocars.com/global/en-gb/media/pressreleases/24739..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 19, 2019 9:14 AM","ddd ccc","is QR going to be good?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 19, 2019 10:58 AM","Kengor","most likely would be good"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 12:18 AM","Kengor","qr expected tomorrow, hold tight guys."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 12:42 AM","char1234","good QR ? Sure ,"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 9:41 AM","VenFx","I would be happi if d.o. can marching toward 0.850"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 2:26 PM","Kengor","0.85 should be reached very soon"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 3:47 PM","Kengor","good volume today"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 4:42 PM","Manekineko","Awaiting for good quarter result..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 4:47 PM","liverpool82","QR be good hit 0.9"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 4:59 PM","Kengor","finger crossed"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 5:22 PM","keyin","Wow, rocket lo"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 6:04 PM","Kengor","sky rocketing gong xi fa CAI lo!!!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 6:21 PM","pang72","Good result.."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 6:23 PM","greatinvestor","yass...good result . tomorrow continue fly.."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 6:30 PM","greatinvestor","Achieved historical high in revenue and net profit"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 7:03 PM","jcpy","Impressive!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 7:40 PM","loonginv","consecutive 3 QoQ, 4 YoY, should break 1, huhu"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 7:45 PM","Manekineko","Good job!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 20, 2019 7:51 PM","VenFx","Congrates to shareholders here.
Strengthen of Rm vs Usd since nov 2018 may slightly erode d&o's profit by next qr.
however, the exponentially growth from its segment shall mitigate the above."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=26","Feb 21, 2019 9:35 AM","Kc Teh","well controlled by marketeers"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 21, 2019 9:42 AM","Smokey22","hopefully they will recover soon and show green"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 21, 2019 9:42 AM","ezobear","How many people really read the report ...... ""This accelerated negative growth rate effectively exposes Dominant to short term risk on its LED exports to China.""
-----------------------------------
We expect the Group to continue with its earnings growth trend in 2019 amidst uncertainties over trade tensions between the USA and China and their impact to consumer sentiment, vehicle demand, supply chain and investment plans. As it is, China’s slowdown in vehicle demand which started in July 2018 has accelerated in 4Q2018 on consumer jitters, forcing Chinese car makers to cut vehicle production and purchases including LED in order to clear excessive inventories within the supply chain. This accelerated negative growth rate effectively exposes Dominant to short term risk on its LED exports to China.
Notwithstanding, the Group expects healthy top line growth for 2019. While lower car sales volume and supply chain adjustment may dampen revenue growth in the short term, the medium to long term growth
fundamentals of LED remain intact as the primary demand drivers of automotive LED are the introduction of new LED lighting applications and increased LED adoption as the preferred lighting."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 21, 2019 10:27 AM","jcpy","Lets flush out those weak holders. Market already priced in mostly all the bad sentiments 6 - 9 months ahead. It is now positive growth in 2019 and beyond."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 21, 2019 12:37 PM","DAN84","this qtr no dividend declare?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 3:30 AM","FGV_","21-Feb-2019 Insider Notice of ceasing to be substantial holder - KUMPULAN WANG PERSARAAN (DIPERBADANKAN) on 20-Feb-2019."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 3:32 AM","FGV_","RM strength behind KWAP total exit?
Strengthen of Rm vs Usd since nov 2018 may slightly erode d&o's profit by next qr.
however, the exponentially growth from its segment shall mitigate the above.
20/02/2019 19:51"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 10:56 AM","Kengor","guys opportunity to top up today"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 12:10 PM","veronTeo","lol buy more loss more."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 4:38 PM","Mar2083","Monday will up...."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 22, 2019 5:15 PM","Kengor","Monday will most likely up 99"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 23, 2019 12:29 AM","Kc Teh","PE too high, not advisable to invest."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 23, 2019 9:53 AM","jcpy","D&O is in high growth industry, does it not command a higher PE? I think the sell down was due to KWAP cashing out. Price now sit just above EMA20 and if it holds well, expect for a rebound soon."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 23, 2019 11:03 AM","ezobear","Automotive supply chain in China is cutting the inventory like hell as order cancellation at multiple years high. Revenue growth definitely will affected in the next 2Q."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 23, 2019 2:43 PM","jremychee","Anyone realise that OSRAM had released really lousy quarter?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 25, 2019 9:43 AM","ddd ccc","should give higher dividend to increase the price"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 25, 2019 12:56 PM","loonginv","kwap disposed but who pickup"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 25, 2019 5:01 PM","DAN84","any sign of rebound or recovery? looks like keeps dropping since qtr result out."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 25, 2019 9:15 PM","jcpy","Market continue to over-react dumping at the cheap, breaking EMA 20 & EMA 50, now only sitting above EMA 260. Currently in oversold territory."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 27, 2019 12:00 PM","edmen","yes @jcpy.....reversal trend sighted...buying starting since ytday"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 27, 2019 12:26 PM","edmen","BULLISH ENGULFING candle sigted ytday - buying pressure overcomes selling ...."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 27, 2019 5:05 PM","DAN84","in the end selling more than buying.."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 28, 2019 8:27 AM","jcpy","Abt 2.5 mil of ESOS shares being dumped into the market yesterday, which explain the selling pressure."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Feb 28, 2019 10:49 PM","DAN84","Hopefully gonna rebound soon!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 4, 2019 8:04 AM","jcpy","Short-sighted investors will not be able to see its value now. Once they realize its value soon, it would no longer be cheap."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 4, 2019 8:12 AM","Ken Tang","r u ready guys"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 4, 2019 10:34 AM","Manekineko","How many more ESOS in d future? Any idea?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 4, 2019 11:08 AM","LH Khoo","Endless ESOS???"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 4, 2019 10:24 PM","DAN84","Ya man. Everytime ESOS.."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 5, 2019 1:36 PM","MoneyGamer","Homily chart shows that there are no bankers in this stock at this moment, while retail selling is still ongoing although the trend has been decreasing, which explain any upward price movement is capped. Unless or until there are strong buying support from bankers, any price uptrend may not be sustainable in the short term."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 5, 2019 11:18 PM","DAN84","Which mean? The price will keep on dropping?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 5, 2019 11:36 PM","loonginv","with so many negative factor surrounding, trade war, China new car sales drop, this could sleep for sometimes. it's good to collect if drop below 0.70"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 6, 2019 11:11 AM","jcpy","There is no doubt that car sales in China has been slowing down on a month-to-month basis since July 2018, but D&O continued to defy the odds by registering higher profits in last 2 qtrs. So, there is a great buying opportunity now, given that its long term business growth is still intact."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 6, 2019 12:28 PM","Manekineko","Agree with jcpy, short term pain long term gain. Those who have holding power can consider buying else can forget this counter."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 6, 2019 4:36 PM","bsngpg","Bot in D&O 20x720 for long term investment for its profit growth in 9 consecutive qtrs. 91%, 197%, 13%,167%, 76%, 3%,119%,54%, 78%"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 6, 2019 5:04 PM","DAN84","patience is the word..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 8:32 AM","jcpy","@MoneyGamer, pls keep us in the loop as and when there are bankers in D&O. I noticed strong buyers around 0.72 and 0.725 yesterday, my take is that big players are accumulating."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 10:23 AM","DAN84","thumb up!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 1:33 PM","Friendship","Collecting quietly"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 3:21 PM","bsngpg","I q at 0.705 for 3 days already. Will continue q till someone sells to me. Take advantage from the report by Kenanga with tp at 0.70. Asking for some discount."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 3:39 PM","DAN84","support level @ 0.72"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 3:51 PM","Friendship","Now collecting phase
Be patient first"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 7, 2019 4:34 PM","DAN84","yeahhh. been averaging down my price. waiting for it to shoot up. heheee.."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 8, 2019 4:26 PM","stockraiders","Huge buying volume at 070 and 0705, someone is definitely collecting big time. Just buy when nobody wants."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 9, 2019 11:07 AM","jcpy","China is already the world's largest market for Electric Vehicles and the EV market could translate into peak demand as early as in 2025, which augurs well for D&O products. EV will be the catalyst for D&O growth."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 2:25 PM","Friendship","What’s the chance D&O involves in Malaysia third national car project? Huat ah!"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 2:56 PM","BryAn Sia","Now 0.695 ady, who want to take?"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 4:34 PM","Manekineko","Bought some at 0.695..."
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 5:04 PM","1128","Wait for uptrend first, now global sentiment not good at the moment"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 10:07 PM","Bursa999","forming triple bottom today touched last support at 0.685 but bounced back as long can stay above 0.685 got chance for technical rebound from triple bottom"
"https://klse.i3investor.com/servlets/forum/800001459.jsp?ftp=27","Mar 11, 2019 10:56 PM","wilsonngoh","Dropppp.. run"
