"dps_urls_link","dps_urls_date_date","dps_urls_date_user","dps_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 20, 2018 9:41 AM","Teh Diven","Good, test new low at 0.045"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 22, 2018 10:24 PM","Teh Diven","No new biz development"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 24, 2018 10:43 AM","omgboy",""
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 26, 2018 4:27 PM","zul","dps support kuat kuat minum teh masa sampai...jiak kopi...."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 27, 2018 12:57 AM","Orson Chin","Insurance how ? No news?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 27, 2018 7:54 AM","fl888","How is Lao Tze ,Jenny, etc who use to comment two years to three years ago, hope they are fine...HPY 2019 to all...."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 27, 2018 10:42 AM","Teh Diven","Very strong
Market up, DPS still standing strong
No buyer no seller"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 27, 2018 12:03 PM","scrown","Then u buy all surely go up"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 27, 2018 5:17 PM","Teh Diven","Buy? Surely holland"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Dec 28, 2018 4:43 PM","Hein","Feb 2019 Qr should include 3 months property sales. If still losing. Peter hv to be duck to make some money. Only know to play kindergarten karate."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 2, 2019 3:35 PM","zul","klci jatuh 23point dps tak jatuh... 5 sen benteng memang kukuh dan kuat..tak payah risau....tunggu minum teh masa sampai...jiak kopi...."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 2, 2019 6:13 PM","Teh Diven","Masa mkt Naik gila tapi DPS Masih zzzzz.memang confirm ?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 2, 2019 10:27 PM","Teh Diven","They not ready yet"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 3, 2019 7:00 AM","Teh Diven","How is their insurance claim business?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 3, 2019 7:01 AM","Teh Diven","If the price still like that better demoted n don't stay at main board"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 3, 2019 7:55 PM","Teh Diven","No volume today"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 5, 2019 7:03 PM","Teh Diven","Wat is the direction of DPS?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 5, 2019 7:04 PM","Teh Diven","Worth to invest?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 7, 2019 3:52 PM","mikeann","What happen to the insurance claim hearing date??"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 7, 2019 4:14 PM","kenie","no more hearing date , in court judges reject claims...failed cannot .."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 8, 2019 6:53 PM","Teh Diven","Better invest in quality counter....this counter don't hv idea the boss wants to improve the price or not. So far, from 12 cts down to 5 cts."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 8, 2019 6:53 PM","Teh Diven","Decreasing price is not good to the company...n fiture"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 8, 2019 10:11 PM","mikeann","When is the next hearing date for insurance claim???"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 9, 2019 3:07 PM","Diven Teh","no need hearing lah........this counter always look backward. no money to move forward"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 9, 2019 7:24 PM","scrown","Why you still fall in love with this counter? So many penny stock up nowadays."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 10, 2019 9:29 PM","Hein","Going to reassessment and announce the final payment, why got return to federal court again. This is instructed by federal court."
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 10, 2019 10:13 PM","Teh Diven","So hai clsin"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 10, 2019 11:10 PM","ceres22","jjchan, did they mentioned when is the next date?"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 11, 2019 9:18 AM","scrown","Although pay day 2019, Peter will normally find way to transfer fund out as old day practice"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 11, 2019 9:24 AM","Diven Teh","nishin pun sudah terbang. dps rubbish stock"
"https://klse.i3investor.com/servlets/forum/800001452.jsp?ftp=293","Jan 11, 2019 5:33 PM","Teh Diven","Rubbish always a rubbish"
