fintec_url_date_date;fintec_url_date_user;fintec_url_date_comments
8/1/2019 16:41;VenFx;"Where is the goyang buntut club deal ?
And the sunshine resorts ???"
8/1/2019 18:19;FutureGains;close 7c...nice
8/1/2019 19:04;ATARAH;Good
9/1/2019 9:53;5354_;Tenaga RM 14. Why sold at wrong timing?
9/1/2019 17:49;VenFx;"FINTEC shud pursue what it best for ...
better drop the goyang buntut club...
i'm not a fan of goyang buntut ."
9/1/2019 18:15;Daily8;Venfx, why? not halal? lol
9/1/2019 18:23;Daily8;"All bankers will opt for e-digitals and no more you and I queuing at the banks, no more prime banking anymore, no more papers deliver to you, no more paying RM0.50 and RM0.20 for each transactions.
Expect full utilization and dependence on your smart phone."
9/1/2019 18:28;VenFx;"Posted by Daily8 > Jan 9, 2019 06:15 PM | Report Abuse
Venfx, why? not halal? lol
ME: EVERY NITE GOYANG BUNTUT,
LATE WAKING UP , BECOME VERY LESS PRODUCTIVE ...
WALLET DROP ALSO BLUR BLUR BCOZ ADDICTED TO GOYANG BUNTUT ... GOOD MEH ?"
9/1/2019 18:50;VenFx;"0.095 Bfore valentine ?
0.110 lagi best !"
9/1/2019 20:17;ATARAH;"yes 2019 is year of internet and digital economy. My choice is Fintec - technology incubator hub
China trade war will be settled. Hang Seng and Dow Jones go up.
Technology stock will be first to go up and strong and exponential growth in price."
9/1/2019 20:18;VenFx;Revenue a better branding rite ?
9/1/2019 20:28;ATARAH;NDXT - Nasdaq 100 technology sector index - 3780.87 (+18.10) Up 0.48%
9/1/2019 20:37;ATARAH;"Future of technology incubation :
Do Tech Incubators Work? NYU Tandon Future Labs Answer: 3,200 Jobs and $4 Billion for New York
Case 1 - FEBRUARY 13, 2018
BROOKLYN, New York – NYU Tandon School of Engineering's Future Labs — a network of startup business hubs that includes the Data, Urban, Digital, and recently launched Veterans Future Lab — today reported an estimated economic impact on New York City’s economy of $4.06 billion since launching in 2009 as the first incubators with city support through the New York City Economic Development Corporation (NYCEDC).
Is Fintec the First technology incubation listed in ACE ?"
10/1/2019 12:41;kelvin17;FINTEC a technology incubation co ? i dont think so .. what sort of business he is doing or investing ? Zouk , hotel and resort .....If strong with improved market sentiment price 0.07 also cant hold go back to 0.065. Aoiyo....
10/1/2019 16:16;ATARAH;"Serious ahh invest in hotel batu ferringi 5 star resort. While waiting for company to come out of incubation. Let me see wise decision or not
Meanwhile get some income first mmmmm wise decision or no"
10/1/2019 16:17;ATARAH;What you all think
10/1/2019 18:29;Monk;Hold on to it and don't let go.
10/1/2019 20:41;chankuanloong;tomorrow sure up 0.080 one.... hahaha
10/1/2019 23:03;VenFx;"这里 怎么多了 些人 了?
好吧 ! 热闹些
搞旺 这个 峰特!
会有戏 看咯！"
11/1/2019 16:19;ATARAH;That is good new. Later
