"genetec_urls_link","genetec_urls_date_date","genetec_urls_date_user","genetec_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 16, 2018 3:37 PM","Guys Nice View","Good to buy now"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 16, 2018 3:37 PM","Guys Nice View","Something is briefing"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 16, 2018 3:48 PM","Stanley8","TP 2.8"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 16, 2018 5:51 PM","Guys Nice View","Haha moving"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 17, 2018 12:22 AM","tracylim","All these while I have been buying and keeping GENETEC for long term. I don't feel like selling even it's 1.98..2.00 has been my short term target.. Hopefully GENETEC will cross it on Monday. 2.50-3.00 for next few quarters. Good day."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 19, 2018 8:02 AM","Guys Nice View","Really bo rojakmee"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 20, 2018 12:04 AM","Stanley8","Hahaha. Up trend all the way! Go go go. See u in the high.."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 20, 2018 1:32 AM","tracylim","Yes! Target price 2.00 achieved! Yes, yes!"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 20, 2018 3:12 PM","Guys Nice View","Haha"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 22, 2018 6:03 PM","powerak","Why suddenly drop so keng"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 22, 2018 6:08 PM","apolloang","29/10 the lowest only 1.29....not 1 month oso already up so much,so no big deal if down"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Nov 28, 2018 9:26 PM","ionlywanttoearn","Tomorrow gap up 170% up"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Jan 2, 2019 10:42 AM","Moc Nokin","Last two day, don’t miss the chance to buy revenue group stock. Free warrant buy 2 free 1.
Cheaper 1.42 now to buy."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 10, 2019 12:30 AM","tracylim","Ok. Coming back to 1.83. Maintain a short term target of 2.00 and a long term of 2.50."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 10, 2019 8:00 PM","Guys Nice View","Good to see Genetec again"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 10, 2019 8:00 PM","Guys Nice View","Hopefully this coming QR very good"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 14, 2019 10:13 AM","tracylim","Maintain short term target at 2.00 and long term 2.50"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 15, 2019 10:13 PM","rojakmee","Result good sure fly to 2.50, thats a short term target"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 15, 2019 10:56 PM","tracylim","Haha... let's hope for the best"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 6:48 PM","Guys Nice View","Tomorrow gap up"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 7:38 PM","tracylim","Medium term target 2.50, long term change to 3.00"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 8:43 PM","rojakmee","Woow, strike gold again"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 9:09 PM","Guys Nice View","Genetec hav new order 46.1 million"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 10:11 PM","rojakmee","Their profit margin is high, with increase in order will increase profit, genetec good for long term keep"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Feb 26, 2019 11:05 PM","abc123","Better than 2015."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 6, 2019 12:35 PM","abc123","Tracy, what happened to target 2.50?"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 6, 2019 5:20 PM","tracylim","I guess the market makers is manipulating the price. If it goes up in a straight line, you and I and everyone will be making a big fortune, so that's not what they will do. My guess is they are taking profit for the recent sell off and for the same time to make you and everybody sell. When you are puzzled, panic and throwing your share, that's the time they will pick it up and push up the price. For me, I will wait, if they manage to push it down to ~1.70 or below, I will start buying down. That's my two cents and you have to decide for yourself."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 7, 2019 3:43 PM","abc123","0k,ok...tq."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 8, 2019 12:59 PM","Guys Nice View","Coming back"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 8, 2019 1:00 PM","Guys Nice View","Profit taking is overed"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 8, 2019 1:03 PM","abc123","Tracy very good! So 2.50 next?"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 12, 2019 9:22 PM","tracylim","Yup, I still maintain my medium term target at 2.50. As you can see GENETEC is going through transformation from a counter that was heavily manipulated before it's 10 to 1 consolidation process and move all the way to become a more diversified profit making company, with reasonable dividends and organic growth. Of course I can't deny there are still sharks swimming in the pool, which is very obvious to everyone. Yet, with the current result, which is amongst its best performance if you would go through all it's previous quarters, the lower they push, the better price we will get. That's why I hope the market makers can push down some more so that I can sweep the shares over. What I guess is they would most probably maintain the price at 1.7-1.8, do the collection and later push up. And my 2.50 (or even 3.00) target will be realistic, particularly if GENETEC can give us better results or at least maintain its performance for another one or two quarters."
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 28, 2019 8:43 AM","Investor 9999","Agred with Tracy Lim. below is what I posted on my analysis in my investment group"
"https://klse.i3investor.com/servlets/forum/800000125.jsp?ftp=122","Mar 28, 2019 8:43 AM","Investor 9999","GENETEC – Target price 256 to 284 based on estimated FY 2019 EPS of 28.45 Sen (YTD FY 2019 EPS 23.26 Sen) using PE range 9 to 10.
Fantastic corporate profit record for Q3 with a net profit of RM4.991 mil (with EPS 12.42 Sen) attributable to shareholders and 9 mths YTD net profit of RM 9.346 mil (with EPS 23.26 Sen) A dividend of 2.5 Sen was declared making YTD interim dividend in total of 5 Sen,
Target price 256 to 284 based on estimated FY 2019 EPS of 28.45 Sen (YTD FY 2019 EPS 23.26 Sen) using PE range 9 to 10. I am expecting Q4 to be moderate as the Directors of the Group anticipate that the Group will achieve satisfactory performance for the remaining quarter.
The Company has announced yesterday it has secured contracts of RM46.1 mil comprising RM32.5 for automotive and RM 13.5 for Semicon, electronic and HDD for FY 2020 , see attached announcement. Market talk is another contract of RM40 mil could be finalised in due course.
I have stated in my earlier posting
You cannot judge Genetic performance Q on Q as its business model involved design (for acceptance by customers), construction and installation of industrial system and equipment for its clients in HDD and Automotive industries which take 6 to 12 mths from design to completion and billing."
