"hwgb_urls_link","hwgb_urls_date_date","hwgb_urls_date_user","hwgb_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 13, 2018 4:18 PM","Jordan Khoo","The rich get richer"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Apr 20, 2018 11:59 AM","Joel Chan","you good"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","May 25, 2018 6:59 PM","Michael Liang","Python company if u buy you died"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jun 5, 2018 8:39 PM","Michael Liang","The Python coil up the investors money squeeze up 4 to 1 then the Python open it's mouth swallow up all the investors shares.吃人公司。"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jul 5, 2018 1:34 AM","MatIsa Isa","Ada Mari?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jul 6, 2018 2:40 PM","yukchian","tipu orang one.."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jul 13, 2018 8:41 PM","MatIsa Isa","Golll!!!france champ...."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Jul 24, 2018 10:03 PM","Rio2814","Any reason why today up?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Aug 7, 2018 7:45 PM","Crasd123","Future rm36"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Aug 16, 2018 9:34 AM","Shareview123","After consolidation of 4 became 1 , this counter become a small capital company .
Now market is goreng with many small capital companies , and almost all the shares have gone back into the hands of sharks and the major shareholders . Can monitor closely about this company ."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Aug 19, 2018 2:39 AM","MatIsa Isa","Okkkk"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Aug 20, 2018 11:06 AM","Jasper Coo","Yahoooo ! Good profit tho, can spend more already kikiki"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Sep 24, 2018 11:46 AM","gghaha","good ...will collect when 0.1 reached...."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Sep 25, 2018 11:56 AM","Heng1983","Sure or not? I collected at 7.5 sen before consolidation. Bleeding terribly now. Keep dropping..."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 8, 2018 11:32 AM","tuapuikia","what happen? why up ?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 9:48 AM","Shareview123","The sharks and major shareholders have collected almost enough . Since Jan 2011 , dropped from 1.00 to 0.12 ( if before consolidation of 4 become 1 , the price should be 0.03 only ) ."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 9:52 AM","MrNiceGuy","any news ??"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 10:39 AM","tuapuikia","crazy as people collecting"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 10:49 AM","Shareview123","Not aware of any news , may be cornered and just goreng only . Anyway , down side limited to 0.12 - 0.13 ."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 10:54 AM","David Chan","Shareview123, now is uptrend la. Since you are dont know anything about HWGB"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 10:55 AM","tuapuikia","should follow the trend and buy?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 10:56 AM","David Chan","Shareholder also director also son of the founder is accumulating the shareholder aggressively. Isn''t company turn to profit or have another company acquire their company share?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 11:06 AM","Shareview123","David Chan , please buy 100, 000 shares and see what is the price on T + 4 ?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 11:09 AM","David Chan","As your wish"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 11:16 AM","Shareview123","If you can hold , as i said down side limited , upside a lot as they have almost cornered the stocks .
Please think in depth , why suddenly so many retail buyers sold their shares . It is not a surprise that a lot of people May chase to buy ( may be they have privileged informations ) , but why suddenly so many people want to sell .
This is just a warm up , they may just do dump and push up a long the way of pushing up ."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 2:18 PM","David Chan","you got your point too"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 4:32 PM","Shareview123","Just exchange of views . Anyway , we can buy and hold those counters which the sharks have accumulated enough and just started to move up , but don't buy any counter which had been pushed up few times from the low and average down all the way when the sharks are distributing ."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 10, 2018 6:31 PM","tuapuikia","buy then"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 15, 2018 11:49 AM","Faithone","Why directors in Sept and October bought 140M shares and price still come down?"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 15, 2018 12:01 PM","209291","David Chan dont talk cock la...many years ago u said can rocket up...now u see the price...colder than water ahhh"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Oct 22, 2018 4:07 PM","MatIsa Isa","Need more viagra"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Nov 2, 2018 10:10 PM","jingming8154","gg hwgb"
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Nov 22, 2018 11:43 AM","gghaha","showing how deep is your love wt this share...."
"https://klse.i3investor.com/servlets/forum/800001735.jsp?ftp=39","Nov 22, 2018 1:57 PM","aaronkq","Love it"
