"icon_urls_link","icon_urls_date_date","icon_urls_date_user","icon_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Dec 25, 2018 2:55 AM","5354_","Company loss still pay tax. Why previous CFO so lousy?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Dec 27, 2018 9:26 AM","5354_","Why not Dr. Jamal Yusof(Dr gigi) make comeback as CEO? Scared MACC check him again? W/o him all of us die also."
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Dec 30, 2018 5:43 PM","Why_","Tabung Haji commences sale of underperforming assets to SPV
http://www.theedgemarkets.com/article/tabung-haji-commences-sale-under..."
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 2, 2019 11:23 AM","PH_better","2019 up year after 2018 down?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 9, 2019 12:20 PM","Undi_PKR","BOD why no join PKR? 10 sen why so hard?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 9, 2019 12:21 PM","Undi_PKR","Azmin pls don't forget Ekuinas stocks."
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 11, 2019 5:15 PM","Undi_PKR","Up 1 sen bec more Petronas jobs in 2019?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 14, 2019 9:20 AM","Change_","PH worse than BN? BOD cannot have Chinese, share price worse GE15 change govn again?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 8:48 AM","5354_","Why QSR CFO join lousier(pariah) company Icon? If you interested in football it is like Mohd Salah(Liverpool) or Harry Kane(Spurs) join Huddersfield or Fulham in Jan'19 transfer window."
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 8:58 AM","5354_","No more i3 shareholders except myself?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 8:59 AM","5354_","Why Icon recruit CFO from QSR if he no good?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 10:26 AM","Change_","Why BOD no change? If they good why Icon only 4% from IPO RM 1.85?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 10:27 AM","Change_","Ekuinas not aware their wealth destruct under present BOD?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 10:29 AM","Change_","BOD means bodoh? Why not replaceable?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 1:45 PM","paramdav","any change this share price will increase?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 17, 2019 10:22 PM","IconForever","Why create new id with 1 post? You cut loss earlier dare not admit?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 18, 2019 4:58 AM","Change_","Change PM to Anwar?
Posted by paramdav > Jan 17, 2019 01:45 PM | Report Abuse
any change this share price will increase?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 20, 2019 11:03 AM","Ongmali2019","OMV(from Austria) to be rescuer for all O&G companies?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 23, 2019 11:51 AM","Ubah_","CFO change not good enough? Next is CEO or PM must change?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 25, 2019 9:39 AM","5354_","Why no Azhar(BOD member) + effect like in FGV?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 25, 2019 2:55 PM","BN_better","Ekuinas(Icon) not GLC? Where is the reform?"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 26, 2019 7:28 PM","IconForever","Greater transparency needed in GLC appointments
https://www.malaysiakini.com/letters/461773"
"https://klse.i3investor.com/servlets/forum/800003587.jsp?ftp=105","Jan 29, 2019 10:00 AM","BN_better","GLCs' reform also PH cheats?"
