"inari_urls_link","inari_urls_date_date","inari_urls_date_user","inari_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Dec 30, 2018 10:59 AM","Friendship","Year end window dressing to the max
Inari back to 2 soon"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Dec 30, 2018 11:10 AM","carry","GG"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Dec 31, 2018 3:34 PM","bsngpg","Bot in more Inari today. If you believe in effectiveness of American type of management such as Intel, Agilent, you should invest in Inari which is helm by a group of elite grown by American biz circle. Especially when it is traded at this low price."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 1, 2019 9:28 PM","Friendship","Inari will drop more coz smart phones sales will drop a lot before 5G is launched
People will wait for it so won’t change new smart phones"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 1, 2019 9:30 PM","Friendship","Safer level is near 1.00"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 2, 2019 4:52 PM","RajaBursa2019","2018 Bursa give u discount
2019 Bursa give u super discount !!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 2, 2019 6:40 PM","Davidyeap","Right"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 2, 2019 7:01 PM","fishcat","Inari will gonna rebound soon."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 2, 2019 9:30 PM","*Sincere_Analyst*(The Best Analyst)","Buy inari. Will shoot up from 1.4 this level. Don’t miss he opportunity to be great again !!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 5:49 AM","Friendship","Inari coming to 1.00 soon"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 8:39 AM","mando","buy at 80sen level....."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 8:45 AM","warchest","https://asia.nikkei.com/Business/Companies/Apple-warns-suppliers-of-20..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 8:46 AM","warchest","Be careful on this. Take VS as the precedent"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:03 AM","firehawk","so terrible .... :-("
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:04 AM","Davidyeap","LoL 1.29"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:05 AM","Davidyeap","*Sincere_Analyst*(The Best Analyst) don't miss
HaHa"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:06 AM","PeacefulWarrior","Some many panicked sellers"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:09 AM","RainT","time to buy some cheap INARI shares & keep until 5G ???"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:09 AM","*Sincere_Analyst*(The Best Analyst)","Buy !!!!! Don’t wait !!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:11 AM","USApg","Sell"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:11 AM","RainT","This INARI need pre before 5G is launch in phones
as smart phones mfg will need to mfg new phones with 5G ahead of launch
so 1 year to 6 months before 5G launch , INARI will receive many jobs?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:12 AM","USApg","Iphone sale in japan, india, china very poor!!!!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:14 AM","USApg","Target price below 1"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:16 AM","USApg","Smart phone不会再有很高的成长率"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:20 AM","safewinner","Those who chase above 1.70+,you will enjoy your trip to holland and sell salted egg (Black Hearth)
claim FAME everywhere direct newbie sell land,house,car,UNDERWEAR everything"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:21 AM","USApg","Smart phone的市场己经饱和"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:21 AM","jonathanlum","will it limit down? please advice."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:21 AM","l3ryan","Expected the plunge to come, if you notice the price movement previously is very obvious it is just a short live hype."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:22 AM","Tongkarat","Aiyoyo...."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:23 AM","USApg","5g, iot, 自驾车是以后两三年的事，sell"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:29 AM","jonathanlum","malaysia share market even scarier than watching ghost story in cinema."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:32 AM","ray1980","Vs @ version 2.0 is coming..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:37 AM","Nathani Lim","faster sell, will drop below RM1"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:39 AM","USApg","Vs 可以找客户，inari高度依赖smart phone,如果smart phone不再高度成长，inari可做的事有限!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:40 AM","Nathani Lim","go to penny stock soon"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:40 AM","moneypedia","laaaaa so need to use suspense sound.......kuang kuang kuangggggggg"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:41 AM","mastermarcus","why sudden drop?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:41 AM","oasischeah","Sell now !!!!! Dont wait for it to plunge more. Rugi sikit sekarang jangan rugi sampai habis."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:41 AM","moneypedia","jeng jeng jengggg"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:42 AM","Nathani Lim","it true, reasonable price 0.75, sell ASAP, later big drop coming"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:44 AM","julian1981","most probably will drop below RM1..can buy back later..sell now."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:45 AM","moneypedia","miow miow mioowwwwww"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:45 AM","L2earn","last time computer said market is saturated, and it will be dead..... now phone is same story.sigh..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:46 AM","ray1980","Last two months if not Epf n Kwap keep support,sure deep drop more than now.But this situation change now because both of big fund q selling now already!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:48 AM","zekuan","Apple cut the forecast...latest news....
http://wallstreetcn.com/articles/3463551"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:48 AM","beso","as i warned after ems, the next melt down is osat, those don't believe have no choice but to pay the price
p/s going forward valuation of semiconductor sector will be much lower than you think of"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:52 AM","jonathanlum","bad situation...i think i must sell and cut loss."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 9:53 AM","Nathani Lim","limit down later, sell, sell ,sell"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 10:04 AM","lching","could be fund selling."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=623","Jan 3, 2019 10:06 AM","mastermarcus","wtf all in!!!!!!!!!!!!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:06 AM","Nathani Lim","run, run, run, big drop coming soon"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:07 AM","RajaBursa2019","2018 Bursa give u discount
2019 Bursa give u more discount !!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:08 AM","Naixdazzle","Run, Inari major customer Apple sales sinking"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:09 AM","firehawk","VS valuation is much cheaper than this one ...."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:09 AM","apolloang","2.60 chase then 1.30 sell lah is it,very pandai…..hahaha"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:11 AM","paktua73","Win bet at 1.28
Manage arrgve down more
Tut tut
Always dare to die"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:12 AM","Nicholasming91","Waiting 0.9 to come..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:14 AM","Friendship","Inari collapsing
1.00 almost certain
0.75 safer entry level"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:15 AM","Patrick13","Top up at 1.30."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:15 AM","signalmw","look like that market is very bad"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:15 AM","paktua73","Lai lai..paktua love dive in rogue red sea...
Tut tut"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:16 AM","newbie8080","WOw.
What happended today?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:19 AM","noobiebet","The best time to buy on bargain is during a bear market. Over the time a progressive business like inari grows well. Equities always outperformed any other asset classes over the years in the longer horizon."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:26 AM","apolloang","when down says 1.00 or below,when 2.60 time says goona come 5.00,like this mentality mana boleh kaya? always buy high and sell cheap to the ib's only"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:27 AM","EST85","Best time?? better don't take risk.
Wait for the signal rebound."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:28 AM","Nathani Lim","a lot of stubborn ppl, later will cry ........."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:32 AM","Tongkarat","Aiyooooooooooooooooooooo.....aiyoyo"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:32 AM","paktua73","Paktua willing to dive now..
Even in hell paktua will fight..
Dare to die always never die
Dare to fight hard here
Tut tut
Real red stock hunter"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:32 AM","RajaBursa2019","80 cents boleh kah ??"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:33 AM","RajaBursa2019","aiyooo pak tua
sudah tangkap ka ??
aku tengok saja ....meleleh ayaq liuq oiiiii
sabar sabar , teguhkan iman"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:34 AM","EST85","0.80 call me! All in"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:35 AM","paktua73","Hahaha
Ah kaq gua kan kaki ketegaq tu laa pasai
Tut tut"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:35 AM","Nathani Lim","i already clear all my share"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:35 AM","noobiebet","Know your own investment objectives and targets. Too many so-called experts telling others to dump it while they are camping here maybe fishing for bargains themselves. Hahaha"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:38 AM","PotentialGhost","US market rise Malaysia fall, US market fall Malaysia also Fall .
Good ."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:42 AM","noobiebet","http://www.theedgemarkets.com/article/global-semicon-sales-98-yoy-us41...
I always buy when the selloff caused by bad news sentiment while the fundamentals remain intact"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:42 AM","bizzybone","Some of you don't even know why Inari is falling. Apple announce this after the US closing, earlier this morning (5am Msian time).
http://www.theedgemarkets.com/article/apples-warning-bad-omen-wall-str..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:45 AM","mastermarcus","oversold la."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:47 AM","paktua73","Lai lai deep more paktua was holiday to long..
Now time to play ..
Tut tut
Ready with full ammo now
Let play more
Dare to buy or die try..
let fight"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:47 AM","YiStock","apple Q1 2018 revenue was USD 88.3 bil. Latest guidanance for Q1 2019 is USD 84 bil. A declined of 4.8% y-o-y"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:51 AM","EST85","Upcoming profits will be affected by Apple. So investors feel don't take risk for unexpected results.
Unless Inari got another ""big Client"" in their list. Huawei? Samsung? Oppo? Xiaomi?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:52 AM","YiStock","Lower revenue is not equal to lower loading volume/ unit sales."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:55 AM","EST85","Yistock. Agreed."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:57 AM","chooheng","so many call warrant. this counter being cursed to lock below 1.70"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:59 AM","YiStock","latest apple revenue guidance for december 18 quarter:
1) usd 84 bil. Previous guidance between USD 89b to usd 93 bil.
2) lower Revenue guidance of approximately usd 5bil to usd 9 bil Revenue shortage. And the shortage is 100% due to in china revenue drop.
Key interpretation:
Q4 2017 china revenue, USD 17.96 bil, total iphone unit sales 13 mil unit.
we use usd 9 bil short as benchmark, which means about 50% drop in china revenue. Which may implies a short of 6.5 mil iphone sold in china.
Therefore, q4 2018 total iphone sales should in the region of 70 mil unit globally.
Other factor that may contribute to lower revenue is lower average selling price which due to massive give-back offer by apple globally. As high as 40% discount. Which may generate lower revenue in front of flattish unit sales.
Conclusion: i'm not sure if lower revenue guidance given by apple is traslated to lower loading volume too to its vendors like inari & gtronic since both inari and gtronic has issued unofficial statement saying the volume loading is stable.
More clue will be sought after apple release it official result end of January 19."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 10:59 AM","EST85","Can foresee Apple share price will drop to $145-147 tonight.
if really like tat, Inari will got Black Friday soon."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:00 AM","RajaBursa2019","layan pak tua layan
aku usha dari 2.2 lagi
hari ni dah 1.2
1 sudah hilang ...kikikiki
soon soon"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:11 AM","mastermarcus","What u expect? everyday lowest...everyday average.....i think 1.27 is bottom for today."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:12 AM","mastermarcus","Name Equities %
Insas Bhd. 599,406,950 18.9%
Kumpulan Wang Persaraan 426,763,675 13.5%
Employees Provident Fund 216,521,449 6.84%
Public Mutual Bhd. 98,571,525 3.11%
The Vanguard Group, Inc. 72,955,400 2.30%
Saudi Arabian Monetary Agency (Investment Management) 58,010,013 1.83%
Norges Bank Investment Management 55,017,594 1.74%
CIMB-Principal Asset Management Bhd. 53,251,400 1.68%
Fiera Capital, Inc. 52,209,018 1.65%
Eastspring Investments (Singapore) Ltd. 45,878,700 1.45%"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:18 AM","Alif Arof","waduh2.. fenin"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:30 AM","RainT","QUITE attractive now
PE 16
Waiting PE 10 or below to join back INARI"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:31 AM","bi0hazard","omg.. my average 1.60 gone.."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:32 AM","ray1980","If China four big four telco players(controlled by China government)stop join sales with Apple smartphone products.This would be gg, especially on world trade war now."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:33 AM","Op3rs","price drop all say the industry doomed.
price rise all say that iphone still kuat.
why why why"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:35 AM","RajaBursa2019","Posted by mastermarcus > Jan 3, 2019 11:11 AM | Report Abuse
What u expect? everyday lowest...everyday average.....i think 1.27 is bottom for today.
1.27 bottom for today ....but new low coming for next 2 weeks , next 3 weeks , next month , next 2 months , next 3 months"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:35 AM","jnal","Topup slow2, wait until below 1.00 baru all in"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:37 AM","noobiebet","Trump just using trade war as a bargaining chip to negotiate for better deals for his own country. I don't think he'll want the war to persist for too long (he's a businessman first). When deals are reached between US-China it's time for stocks to rally again so get ready. Semiconductor related stocks will improve on that basis but it's best time for bottom fishing on low stock prices."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:37 AM","RajaBursa2019","eat kuaci dulu
kikikiki"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:41 AM","moneypedia","jg jeng jenggggg tenenenet"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=624","Jan 3, 2019 11:41 AM","moneypedia","gring girng gringgggggg"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 11:55 AM","mastermarcus","selling pressure still remain high."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 11:56 AM","HeLLo Cannot (=^x^=)","1.27 very attractive price level"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 11:58 AM","Nicholasming91","Entry 1.00 all in no problem"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:01 PM","mastermarcus","Hopefully no reach this price.....else u see me jump from KL tower
...hahaha
Nicholasming91 Entry 1.00 all in no problem
03/01/2019 11:58"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:20 PM","USApg","http://www.chinapress.com.my/20190103/iphone大中华区销售欠佳-苹果业绩差-股价急挫/"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:22 PM","Jona0724","很大机会成仙"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:23 PM","newbie4444","Why no1 in Insas talk today? Insas no more Inari true?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:38 PM","Davidyeap","Today 1.24-1.26"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:38 PM","Davidyeap","我说过一月成仙"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:40 PM","Davidyeap","1.8 我说可以放了，但是没人相信"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:50 PM","SpicyMcDeluxe","Bankers out from this stock long time ago, pity retailers who r stuck here now"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=625","Jan 3, 2019 12:50 PM","angel123",""
