"inari_urls_link","inari_urls_date_date","inari_urls_date_user","inari_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 4:11 PM","cross9999","Gooshen you got the habit to eat your own shit and smell your own fart. Open your eyes big big see your lies.
Hahahahhahahah
Stock: [SUPERMX]: SUPERMAX CORP BHD
Jun 3, 2020 11:04 AM | Report Abuse
Proven I am excellent GooShen!!! Told you hengyuan pattern repeated yesterday today drop so deep to 5.30. Listen to me excellent GooShen!!!"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 4:16 PM","cross9999","Nah. Gooshen comment last year June, he can’t Veen remember his own lies. Nah.
Enjoy guys ...
Stock: [SUPERMX]: SUPERMAX CORP BHD
Jun 3, 2020 9:13 AM | Report Abuse
Told you ma, don’t chase and sell all. Even hinted you hengyuan, why no listen ?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 4:28 PM","Trader258","Goo Shen, some profit taking is called stock crash or melt down ? Where you learn your stocks terminology ?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 4:28 PM","GooShen","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 4:48 PM","Trader258","Goo Shen, in Bursa Malaysia, penny stocks are those at 50 sen and below.... even during March 2020, it stayed higher than that..."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 6:07 PM","abundance8","get your facts right lar...so annoying shit"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 6:16 PM","GooShen","Something is not right
Rss spike up
Now big boys keep on selling
gg already"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 4, 2021 8:10 PM","cross9999","Gooshen do you know what’s not right ?? It’s you , yes it is you that not right . Liar , loser and mentally sick.
Still wanna talk about how you money made from supermax ?? Hahahahhahaha. You don’t made anything, you stuck at topglove, fpgroup and mmsv."
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 5, 2021 12:29 AM","pang72","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 5, 2021 9:02 AM","GooShen","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 5, 2021 9:23 AM","GooShen","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 5, 2021 10:19 AM","TripleH","kikikik time to add more cheap ticket, q at 3.2, 20kunit, come come come, close app, spend happy weekend kikikikikiki"
"https://klse.i3investor.com/servlets/forum/800001951.jsp?ftp=824","Mar 5, 2021 10:37 AM","Togetherweearn","Damn. First time Gooshen got it correct. Gonna top up my ticket."
