"kossan_urls_link","kossan_urls_date_date","kossan_urls_date_user","kossan_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 1, 2021 3:49 PM","shearer202","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 1, 2021 7:20 PM","BuffetOnWeed","5c0160 tomorrow PN17"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 1, 2021 10:09 PM","Infinite","TG gloves stuck at US market, 25% of US volume where to go? Only Harta and Kossan will enjoy the sales. Harta valuation at high side, Kossan is the safe heaven. TG coming qtr profit will down."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 1, 2021 10:52 PM","soon9913","current price is attractive"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 1, 2021 11:50 PM","EarnSomeBeers99","https://www.thestar.com.my/aseanplus/aseanplus-news/2021/06/01/china-r..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 2, 2021 9:02 AM","shearer202","Glove counter is like a dead fish now n the shareholders are pending to be fried in hot oil !
Rm 1.xx coming , glove is dead.....glove is dead.....glove is dead.....glove is dead.....glove is dead.....glove is dead.....glove is dead.....glove is dead.....! Wake up boys.......Wake up boys.......Wake up boys.......Wake up boys.......Wake up boys.......Wake up boys.......Wake up boys.......!!!!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 2, 2021 1:22 PM","speakup","https://www.scmp.com/news/china/science/article/3135652/china-reports-...
KASI LIMIT UP!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 2, 2021 6:11 PM","5c0160","Tmr 3.60. nexy month 3.00 . Aug 2.70"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 12:08 PM","8888_","ASP not increase meh?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 12:08 PM","8888_","02-Jun-2021 Insider EMPLOYEES PROVIDENT FUND BOARD (a substantial shareholder) acquired 550,000 shares on 28-May-2021.
02-Jun-2021 Insider EMPLOYEES PROVIDENT FUND BOARD (a substantial shareholder) acquired 600,000 shares on 27-May-2021.
31-May-2021 Insider EMPLOYEES PROVIDENT FUND BOARD (a substantial shareholder) acquired 346,100 shares on 19-May-2021."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 12:21 PM","8888_","SBB so long not in use how abt today?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 2:37 PM","GloveASP","Stanley consider to cancel glove manufacturing setup in US"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 2:51 PM","apple1999","what happen to kossan, drop faster than others"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 3:02 PM","Consultant","yay dropping to rm3 soon =DDDD"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 4:08 PM","Speed99","Dont miss the boat... collect now .. rebound soon"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 4:31 PM","Maxellboom","What price buy is better?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 7:57 PM","RISK8888","if can go down to RM2, best price to enter."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 3, 2021 8:06 PM","5c0160","Game over glove counter. Tmr 3.50"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 10:09 AM","Consultant","Rm3 la.. alang alang.. discount a bit for me to buy hehe"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 3:07 PM","Loh Kok Wai W","many small investor kena trap ! glove counter give dividend,give bonus...........now small investor return thier dividend to glove counter.......hahaha....i help u ,u help me."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 4:07 PM","Maxellboom","Good"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 5:44 PM","5c0160","Kossan now is rubbish counter."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 6:26 PM","Sneakpeek","I'm so free right now i give glover simple analysis haha..
10 days ago
1st tier
TG 5.48 now 4.90 down 10%
Kossan 4.40 now 3.76 down 14.5%
Harta 10.06 now 8.57 down 14.8%
Supermax 5.10 now 3.92 down 23%
2nd tier
Rubberex 1.32 now 1.06 down 19.7%
Comfort 2.50 now 1.99 down 20%
HLT 1.19 now 0.90 down 24%
Care+ 2.87 now 1.84 down 35%"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 7:18 PM","GloveBurnHand","2.3 coming soon"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 8:08 PM","5c0160","Too high. 1.80"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 4, 2021 9:04 PM","Hustle","1.20 coming"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 5, 2021 10:12 AM","tamp0i","That is why a lot of fishes losses money in stocks they treat it like gambling, sai-lang, all-in... Later market dropped 5% pants also have to sell off, haha.. Oh boyyyy"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 8, 2021 10:00 PM","Loh Kok Wai W","Listen n follow too much Analysis said...buy n sell....will lost more money...those is hantu !they call u buy or hold,but they sell."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 1:44 AM","Louise13","buy buy buy"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 12:05 PM","GloveASP","GLOVE STOCK IS GOOD FOR LONG TERM INVESTMENT THAT IS CORRECT, BUT JUST GET THE INFORMATION FROM CHINA PEOPLE MENTIONED AT LEAST 300 EKAR CONSTRUCTION BASE IN BULIDING, AT THE END ASP MAYBE DROP BACK TO 1 BOX USD21"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 1:35 PM","TokioDeals","Good @GloveASP, can hear you loudly but wen bottom? I want to buy"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 2:42 PM","foreign_fund","3.66 not bottom? Why you don't buy yesterday?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 2:43 PM","foreign_fund","3.7 still good price can add a lot?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 4:00 PM","SamLiRainMaker","slow and stable compare to Super or TG."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 4:08 PM","GloveASP","Malaysia Government insider news, they will decide to close all the business soo due to covid"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 5:04 PM","BuffetOnWeed","Glove asp don't talk crap."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 5:44 PM","Ahboy96","going up soon"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 9, 2021 10:52 PM","Will76","KUALA LUMPUR (June 9): Top Glove Corp Bhd expects average selling prices (ASPs) of gloves to drop further in the coming month due to weaker demand from the US and lower raw material costs.
Its executive director Lim Cheong Guan noted that the ASP of nitrile gloves fell 20% in Top Glove's third financial quarter ended May 31, 2021 (3QFY21).
""The ASP adjustment was in line with market pricing trends and lesser sales volume to the US,"" he told a virtual press conference held in conjunction with the announcement of the group's latest quarterly results.
Lim expects lower nitrile latex prices as costs of the raw materials, namely butadiene and acrylonitrile, are expected to decline by 10% and 6% respectively between May and August.
""A lower natural rubber latex concentrate price is expected in the coming months as the wintering season ended in May 2021, and yields are expected to improve,"" he added.
The world's largest glove manufacturer posted a softer quarter-on-quarter (q-o-q) performance for 3QFY21.
Its net profit fell 29.03% to RM2.03 billion from RM2.87 billion for 2QFY21, while revenue shrank 22.42% to RM4.16 billion from RM5.37 billion, as the group was barred from exporting to the US.
The group said the weaker q-o-q performance was owing to a decline in ASPs by 16%, a lower sales quantity following a temporary halt in shipments to the US from Malaysia and higher latex as well as natural rubber latex concentrate prices.
On a year-on-year (y-o-y) basis, the group’s quarterly net profit jumped almost five times to RM2.04 billion from RM347.9 million a year earlier on a higher revenue.
Revenue climbed to RM4.16 billion for 3QFY21 from RM1.69 billion previously.
Despite the weaker earnings performance, Top Glove declared a dividend of 18 sen a share, including a special dividend of 5.3 sen.
Top Glove gained six sen to close at RM4.84 today, with a market capitalisation of RM39.72 billion. It saw 34.54 million shares traded."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 12:32 PM","WaterBlower","Where is Mabel meow meow meow? Long time didn't see her edi, miss her.
Wanna Meow Meow her"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 3:05 PM","GloveASP","UMNO insider explore if COVID case still in high position, they will execute the full lockdown immediately include non of the business ca be operated. Stanley transfer more than 2billions MYR to US ready for mew plant funding"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 4:03 PM","tansm1","my Kossan gone already!!! :("
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 4:53 PM","Ahboy96","seems like glove is in downtrend right now. duno still will drop how much"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 4:58 PM","AdCool","hah? glove in downtrend now? isnt it already downtrend since mid October 2020? Now is hovering without up or down."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 5:37 PM","1invest1","Kossan is good. No doubt abt it.
Going forward, profits will become lower due to recovery, vaccinations, ASPs, competition, etc.
Mkt conditions, trends, environment, industries, competition, etc. change & move forward. No stk can continue dominating & give high returns & dividends permanently. Perhaps, high-tech and medicine maybe exceptions due to patents & monopolies.
Projections are good but mkt conditions change very quickly due to numerous factors including faster & rising vaccinations, recovery, lower infections, etc.
If you want to not put all yr eggs in 1 basket or consider an alternative, RWLV is opening on June 24 & Grand Opening on July 4 in Nevada, USA."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 10, 2021 11:04 PM","Kevin Tam","Kossan is performing better than Supermax n Topglove in term of maintaining ASP n profit after tax ; the falling of ASP of Topglove is faster than expected, maybe the ban to export to USA market the main factor for ASP to drop so fast ... The current selling pressure for Kossan looks like overreacting..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 11, 2021 11:18 AM","somo1","Well, we'll find out in August when the June Quarterly results is released. From now till then, no news but we can expect surprises, more likely negative ones, driven by macro picture beyond the company itself."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 11, 2021 11:28 AM","Perakian","If TopGlove cannot export to US why not Kossan export on behalf?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 11, 2021 9:14 PM","probability","going forward, kossan eps will consistently beat all other big 4 glove players"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 12, 2021 4:22 PM","information","Good time to short squeeze Top Glove (Malaysia)?
https://klse.i3investor.com/blogs/informationtech/2021-06-12-story-h15..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=239","Jun 12, 2021 8:47 PM","RISK8888","Monday all glove stock will rise. Take opportunity to earn quick money. Dont miss the opportunity guys!!!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 1:37 AM","CoolBull","Glovemakers unlikely to be severely impacted by softening prices
https://www.thestar.com.my/business/business-news/2021/06/12/glove-mak..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 3:56 PM","Kossan","With dramatic TG ADR rise in USA and Frankfurt, likely due to CBP removal and 3rd COVID wave in summer"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 5:22 PM","Benny1123","Monday surely up.."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 5:33 PM","brian3381","Covid cases droping. Run run"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 7:55 PM","jolynce","My entry into glove is considered late compared to many people here. And Kossan was my first glove stock.. bought @3.36 2 months ago in early April this year. In 2 short weeks, the price went up over 40%! I was like.. WHAT?! When prices of glove stocks started coming back down, I started collecting Harta and TG too. Because I saw how the price of Kossan went up 40% in just 2 weeks! And also because these companies are doing so well, making tons and tons of money, and prices have came down so much from their peak... so I don't see the logic of NOT buying more."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:34 PM","ks5S","joynce , you are absolutely right"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:43 PM","jolynce","Thanks @Ks5S. My first entry into gloves (Kossan @ 3.36 in early April) is my ""benchmark"" for when to collect, bit by bit and then more and more as Kossan approaches my original entry price of 3.36. I think EPF and substantial shareholders agree as well. LOL!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:45 PM","brian3381","Soon wil below rm3"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:45 PM","brian3381","Post removed. Why?"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:47 PM","jolynce","@brian3381 I'll buy more. Cash rich company. Why scared? LOL!"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:57 PM","brian3381","Money stuck loh."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 13, 2021 8:57 PM","brian3381","Not fuly utilised. Bad investment strategy"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 14, 2021 6:53 AM","acbiz88","The downtrend will end when you see the red report card or new start-up started to fall"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 14, 2021 6:59 AM","wallstreetrookie","risk on"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 14, 2021 10:26 AM","Kevin Tam","The down trend should stop soon due to the Covid 19 cases going up again in Asia. And U.K. with 45-47% people fully vaccinated, cases also gone up to 6500-7000 above recently ; among the top 4 glove counters, Kossan is cheaper than Topglove n Harta n higher value than others. Another advantage is while Topglove n Supermax ASP started to fall in latest quarter, most probably Kossan next quarter profit still higher than the March/ 21 quarter ..."
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 14, 2021 3:17 PM","Ahboy96","just bought 10lot @ 3.61. still believe it will rebound soon due to the current outbreak pandemic"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 15, 2021 11:41 PM","tamp0i","Money stuck at a genuine money making company giving dividends every quarter is better than money stuck at a goreng counter right? Hahaha"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 15, 2021 11:59 PM","The_JQuestion","EPF is back price should stabilise soon already undervalue bout time la EPF watching happily IB are watching closely too they love to see it drop"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 16, 2021 6:26 PM","Ukga","EPF continuously top-up Kossan in June. Something brewing in the near future??"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 17, 2021 11:37 PM","Mabel","Some wise words..
Many investors have the vision to spot a diamond when they see one.
Few investors have the courage to buy a diamond selling cheap. Very few investors have the VISION (to spot the diamond), the COURAGE (to buy low ) and the PATIENCE to wait for the diamond to reflect its true brilliance for a very profitable investment.
PATIENCE is the greatest jewel of every successful investor...
Meow"
"https://klse.i3investor.com/servlets/forum/800001389.jsp?ftp=240","Jun 18, 2021 3:46 PM","GloveASP","I dare to confirm, malaysian will die in covid total 100000 above, full lockdown without any business can have more than 3 months"
