"maybank_url_link","maybank_url_date_date","maybank_url_date_user","maybank_url_date_comments"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 26, 2018 11:20 PM","Wong Wei","Hi Hi did I miss anything ?? Any update ??"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 27, 2018 8:12 AM","Keat Soon Ong","Today window dressing"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 27, 2018 9:40 AM","isaac225","no movement in maybank...only EPF and AManah in and out syok sendiri.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 28, 2018 2:53 PM","Jaya","Maybank is winner"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 28, 2018 2:53 PM","Limbeh","expensive ehhh"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 31, 2018 6:24 AM","Jaya","Maybank is winner"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Dec 31, 2018 9:41 AM","isaac225","shopping day..buy buy in last day of 2018"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 1, 2019 1:54 PM","fuzi","maybank can hit 10?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 1, 2019 2:02 PM","Mary Tan Ling","adui! if opens tomorrow at 9.50 and maintains throughout the year am very satisfied no need 10."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 2, 2019 6:26 PM","zhen wei & JP","http://www.theedgemarkets.com/article/maybank-increase-union-members-s...
Congratulations to maybank union, nice increment and package given .
Well done maybank."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 3, 2019 8:43 AM","isaac225","stock holder got salary increase??hehe.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 3, 2019 9:42 AM","Steven8882","https://www.thestar.com.my/business/business-news/2019/01/03/salary-in..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 3, 2019 10:19 AM","signalmw","他指出，综指跌至1620点至1665点时，將会是不错的进场时机。
因此，他建议，投资者在综指跌穿1670点之后，可以考虑逢低买进。他对於综指今年底的预测是1775点。"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 3, 2019 4:34 PM","limkokthye","we want dividen increase"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 5, 2019 3:22 PM","Yih Jia","i think sure will up till 100"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 7, 2019 9:54 AM","isaac225","up up to the sky...rm 12 enough la..don't greedy ..CNY ang pao.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 7, 2019 10:31 AM","tomwah","chinesse new year ampow"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 7, 2019 10:32 AM","Hapy",""
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 7, 2019 11:41 AM","IronShirt","ambank better goreng bank stock then maybank......bigger angpao"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 10, 2019 11:35 AM","nanas","Morgan Stanley downgrades Maybank, Public Bank, CIMB
KUALA LUMPUR (Jan 10): Morgan Stanley downgraded Malayan Banking Bhd (Maybank) shares to equal-weight from overweight while CIMB Group Holdings Bhd and Public Bank Bhd recommendations were revised downward to underweight from equal-weight, Bloomberg reported today.
Bloomberg, quoting Morgan Stanley analyst Nick Lord, reported that Morgan Stanley lowered its Maybank target price (TP) to RM9.70 from RM10.30.
""Analysts lowered their consensus one-year target price for the stock by 2.8% in the past three months. Forecasts range from RM8.70 to RM11.70,"" Bloomberg reported.
At Bursa Malaysia today, Maybank shares were traded unchanged at RM9.47 at 10:20am.
Bloomberg said Morgan Stanley cut its Public Bank TP to RM21.80 from RM21.90.
""Analysts raised their consensus one-year target price for the stock by 1.4% in the past three months. Forecasts range from RM19.80 to RM29.10,"" the newswire reported.
Bloomberg said CIMB had 12 buy, 11 hold, 0 sell calls previously.
""Analysts lowered their consensus one-year TP for the stock by 3.1% in the past three months,"" the newswire said.
At Bursa Malaysia today, Public Bank shares rose four sen to RM24.72 at 10:21am while CIMB climbed one sen to RM5.66.
https://www.theedgemarkets.com/article/morgan-stanley-downgrades-mayba..."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 11, 2019 9:07 AM","masterus","Lonbisc counter starting to move. Don't miss the boat. TP is 0.70 and above."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 11, 2019 1:05 PM","signalmw","（Morgan Stanley）下调大马3大银行股的评级。
根据彭博社报道，摩根士丹利分析员NickLord将马来亚银行（MAYBANK,1155,主板金融服务组）的评级由“加码”下修至“中立”（equal weight），目标价从10令吉30仙，调低至9令吉70仙，比该股昨日闭市价高2.4%，马银行的平均目标价为10令吉35仙。
此外，大众银行（PBBANK,1295,主板金融服务组）和联昌集团（CIMB,1023,主板金融服务组）的评级也从“中立”下修至“减码”。
大"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 11, 2019 1:06 PM","signalmw","Another dumpling stock after glove share"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 12, 2019 6:09 AM","OPR_must_cut","24th Jan OPR must cut 25 basis point?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 12, 2019 6:10 AM","leo0326",""
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 14, 2019 10:29 AM","masterus","Lonbisc is in upward mode. Nta is 2.07. EPS is 6.77sen."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 15, 2019 7:57 PM","Jaya","J P Morgan eps 1.98 against est of 2.21
Share price 2.28 percent down"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 8:33 AM","1128","Wait for price to drop...."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 5:24 PM","Timothy Kuek","Last year, MBB declared RM0.32 as final dividend (Jun 05) and RM 0.25 for Interim Dividend (Sep 28). My question is will I get both of the dividends (RM0.32+RM0.25) if I still hold the shares at that time? I very confused what is Interim Dividend and Final Dividend....."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 5:25 PM","mmaker",""
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 5:26 PM","1128","Salaries up, div down"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 5:27 PM","1128","Avoid GLC, kena korek kau kau"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 5:39 PM","signalmw","Better korek kau"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 16, 2019 9:06 PM","Championmbsbnsimecw","That moron newinvestor 17 deleted his moronic post?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 1:42 AM","zero","@Tim - YES. It's just a name - like first child and second (last) child for the year :)"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 1:43 AM","zero","Do both children belong to you? hell yeah."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 8:02 AM","1128","Don't call people moron lah... this is free world. So long no vulgar komen ok lah.."
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 12:19 PM","Jaya","People newinvestor17 got barred by i3 but is under multiple aliases
saham4u
listener
joetay1 to ....... whatever - some barred
BWC - barred
investo - barred
Most probably be got others too which are not out yet
Same problem causing disruption and chaos in various forums
Personal opinion is he has got major issues or a disorder to be acting like that"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 12:21 PM","Jaya","So just ignore him and his aliases"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 12:26 PM","1128","how you know i3 bar the fello?"
"https://klse.i3investor.com/servlets/forum/800000318.jsp?ftp=172","Jan 17, 2019 12:30 PM","IbrahimBinFareed","looking for counter to hold long term, maybank ok?"
