"ocr_urls_link","ocr_urls_date_date","ocr_urls_date_user","ocr_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Aug 30, 2018 12:05 PM","Candyliow99","rubbish counter"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Sep 5, 2018 3:14 PM","ZulBMW8058","candyliow99 100% ✓✓"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Dec 7, 2018 11:32 AM","commonsense","At first when i look at the company 2Q18 result, i was a bit bullish on the outlook given that the company recorded a growth of PBT from RM1.8mil to now RM4.3mil. In addition the PBT in 2Q18 was derived from a lower revenue from last year. Initially i thought it was because of the change in focus from construction contract in FY17 to property development in FY18 of which the latter normally has higher profit margin.
But upon studying their result in details, the jump of PBT profit was mainly attributed to the gain on disposal of one of its subsidiaries, amounting to RM 2.6mil. Excluding this PBT would have actually been RM1.7mil which is a slight drop vs last year result. in terms of PAT if normal tax rate were used (24%) PAT would have been around RM1.3mil.
In terms of valuation even if the company managed to get a PAT of RM6mil for the full year of FY18 (1H18 PAT is RM2.2mil), the company's valuation is still high at 16.5x PE. However given the list of projects that the company have at the moment you would assume that the company profit will catch up to the valuation later. Some of the list of project that the company said it is pursuing are:
1) Prima housing in Alor Gajah. GDV RM100mil
2) Housing project in Bangi. GDV RM90mil
3) Prima project in Bukit Jalil. GDV RM155mil
4) Perumahan Penjawat Awam 1Malaysia in Putrajaya GDV RM324mil
5) Affordable housing in Pahang contract value RM166mil
6) Mixed development project in JB GDV RM700mil
7) Mixed development project in Kuantan GDV RM330mil
8) Mixed development project in KL GDV RM202 mil
9) Mixed development project in Melaka GDV RM206 mil
However upon going thru their balance sheet in detail, i have doubts of them being able to pursue these project in the near future. Which means profit level might still be at the RM6mil level in FY19.
If you go through their 2Q18 report, you will notice that cash flow from operation is still negative given that most of the sale is still in receivables. Then you would also notice that the debt level has actually more than double compared to 2017 but still at a manageable at RM61mil. Given the cash balance of RM18.9mil you would think it would be sufficient until some of the receivables (RM77mil) can be converted into cash. But if you look at the cash flow statement, u notice that RM16.4mil are actually pledge to the bank which leaves the company only with a free cash balance of RM2.5mil (and even that RM4.8mil are bank overdraft).
Unless the company convert those high receivables to cash, you have to assume that they are likely to face some liquidity issues which might effect the progress of their property projects. Most probably they will need to raised further capital.
If you are interested in the company, better wait for their balance sheet to improve first. If you are interested in the property industry, there are actually a lot of companies that are cheaper and have stronger balance sheet at the moment.
For those looking to diversify their portfolio outside of the property industry, i would recommend them to look at MBMR.
The company is a direct proxy to Perodua via its 22.6% interest in the company. Valuation is cheap at only 5.9x PE (based on target FY18 PATAMI of RM145mil. 9m PATAMI is already RM106mil). PB is low at only 0.6x BV. 4Q18 results is expected to be higher than 3Q18 and last year's 4Q17. And FY19 growth will be driven by the still high demand of new Myvi and the launch of the new SUV in 1Q19.
Please go through the analyst reports (https://klse.i3investor.com/servlets/stk/pt/5983.jsp) and do your own analysis before making any decisions.
Hope OCR can proof me wrong and deliver the profit growth that is expected of them from their existing shareholders.
Good luck"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Dec 31, 2018 5:45 PM","Candyliow99","bad QR"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Jan 11, 2019 10:06 PM","Dingdongbell","Good chance to collect, and keep.."
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Jan 28, 2019 12:29 PM","JaBerry","I thought company got some announcement"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Feb 19, 2019 4:27 PM","Klse_faizan","collect mode. :)"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Feb 20, 2019 8:08 PM","LuvLuv","OCR PA holders is advisable to swap to ocr wd when its listed if you want to be in the ring..."
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Feb 20, 2019 8:14 PM","LuvLuv","OCR WD is expected to trade in the range of 0.09-0.12,lets see"
"https://klse.i3investor.com/servlets/forum/800001291.jsp?ftp=98","Feb 21, 2019 11:27 AM","Klse_faizan","tomolo never die"
