"permaju_urls_link","permaju_urls_date_date","permaju_urls_date_user","permaju_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 11, 2018 9:48 PM","capayam2018","ari ni ttp pd hage belian"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 11, 2018 10:53 PM","Winwin98","https://www.investing.com/news/stock-market-news/china-moves-on-us-car..."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 12, 2018 9:34 AM","stockholm999","i enough liao. sold at 39 cent, 100lot."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 12, 2018 9:35 AM","stockholm999","jantung tak dapat support"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 14, 2018 11:36 AM","Popit76","22 22 22 22 22 hehe"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 14, 2018 2:44 PM","thebursapro","Same group of sharks goreng sanbumi then permaju."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 14, 2018 4:11 PM","stockholm999","can collect liao. 0.355 or 0.35"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 16, 2018 3:33 PM","johnbrooks","How do u know its the sharks?"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 21, 2018 9:28 AM","cheong3288","wait till 25-27cents to collect"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 24, 2018 9:58 PM","KenLui","trap permaju ppl must becareful"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 28, 2018 9:59 AM","HazByn","uptrend."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 28, 2018 4:26 PM","valensi88","malu2 mahu naik"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Dec 28, 2018 6:20 PM","Jomkaya4","tahun depan pasti fly..."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 4, 2019 11:00 AM","Pilotsport","Fgv Tolong support sikit"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 7, 2019 9:38 AM","manikams","Going downhill."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 8, 2019 3:46 PM","hkhk","sure or not bramal"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 18, 2019 4:52 PM","NaasifBaik","can buy back in and wait it fly again?"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 24, 2019 6:33 PM","matg",""
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 27, 2019 6:40 PM","moneykj","Why I look here look there Orion very similar to 1 stock king I in 2014:
1. No of share: both also about 600m
2. Start to goreng from 0.105
3. Both start after announcement of government link project. Both fintech. ""I"" doing GST collection software for government.
4. Cumulative 4 q earning after start goreng was 30m for ""I"". Cimb estimated Orion can come to highest 29m for 2019.
5. Both also start from weak results. ""I"" only 421k. Orion 1m.
6. Both also got pp.
One famous anei behind the rise of ""I"". I believe he also behind Orion.
""I"" rose more than 1500%. How will Orion?
http://www.theedgemarkets.com/article/orion-rises-15-prospects-next-fi...
http://www.theedgemarkets.com/article/ministry-targets-rm55-bil-revenu..."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 30, 2019 8:37 PM","thesteward","TOMOLO ...one more round to break .40 fingers crossed"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Jan 30, 2019 8:37 PM","Unknown123",""
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 8, 2019 5:21 PM","Tnecera Prime","accumulate?"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 12, 2019 12:35 PM","param54","today break .40"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 12, 2019 2:05 PM","Tnecera Prime","is it today?"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 13, 2019 8:57 AM","capayam2018","mggu dpn 0.4"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 13, 2019 12:11 PM","sportstoto","Hari ini 0.40"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 17, 2019 6:53 PM","capayam2018","TOMOLO fly....."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 18, 2019 12:13 PM","stevenwongg","Today got fly??,hahaha"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 20, 2019 2:47 PM","Woo Kok Keong","Good I like it climb like this build strong momentum now just wait sudden flying"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 20, 2019 4:28 PM","Hanip","waaa, hihi psiko betoi main kaunter ni"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 26, 2019 9:21 AM","2323","Tp 0.60"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 27, 2019 12:36 PM","capayam2018","mggu dpn kemungkinan 0.5 angpa msk sendiri bayar...hahaha."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 27, 2019 3:09 PM","Woo Kok Keong","So boring.... Wait already 1week price still stuck at 41sen"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 27, 2019 3:49 PM","Woo Kok Keong","Wow q4 really good earning heard from friends"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 27, 2019 5:02 PM","slash8479","Ready to fly"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 3:47 PM","2323","Wah...what happen......"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 3:50 PM","lextcs","shake the monkeys off the trees …"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 5:22 PM","2323","GG"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 5:45 PM","buah_kurma","habis lah besok. QTR koyak"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 5:45 PM","2323","No eyes see...."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Feb 28, 2019 11:11 PM","BlackCapital","GG"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 1, 2019 5:48 PM","capayam2018","satu kali lg ko buat hage turun gila gila...aku jual ko. hahaha"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 7, 2019 8:09 PM","Lim Elson","good.. dapat sikit profit from morning goreng.. hope tomorrow they goreng lagi... hehe"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 8, 2019 2:19 PM","Woo Kok Keong","This share sure go 60sen"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 10, 2019 8:39 PM","Hariz Azman","Ready to fly soon."
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 12, 2019 8:31 AM","Woo Kok Keong","Gogogo this week will be good"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 14, 2019 1:05 PM","Woo Kok Keong","Is coming is coming!¡!!!!"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 15, 2019 1:55 PM","Woo Kok Keong","So yummy earn some more Raya money"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 18, 2019 2:46 PM","thkq13","Target price 1.02"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=39","Mar 19, 2019 9:13 AM","capayam2018","wow....tggi tu"
"https://klse.i3investor.com/servlets/forum/800001302.jsp?ftp=40","Mar 19, 2019 2:18 PM","stocking","look at the upward trending, slow and steady with respectable vol.
TP 1.00"
