"sedania_urls_link","sedania_urls_date_date","sedania_urls_date_user","sedania_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Oct 18, 2018 2:24 PM","suesue7","In the US the company can be investigated for ‘misleading’ investors. Be careful."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Nov 30, 2018 10:25 AM","suesue7","So quite this counter"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 3, 2018 11:24 AM","ccssam","this stock is dead"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 3, 2018 5:57 PM","suesue7","Owh"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 3, 2018 6:00 PM","Primeinvestor","the revenue is coming back, just that some works was stopped last quarter, RM0.20 is coming for santa"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 3, 2018 6:52 PM","Nicholasming91","What revenue, any prove ? This stock many bought above 0.30"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 19, 2018 5:31 AM","suesue7","what work? all talk only"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 26, 2018 6:12 PM","keyin","Crashed"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 27, 2018 12:35 PM","Tomyamnana","This share is so fcuk up...
No hope de..."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 29, 2018 10:21 AM","TomyamGong","rebound is in the corner"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Dec 29, 2018 2:15 PM","shortinvestor77","Wah TomyanGong appear!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 2, 2019 9:52 AM","ccssam","when tomyamgong appear means the stock will drop .."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 2, 2019 7:44 PM","suesue7","9.5sen. Rebound?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 2, 2019 8:54 PM","shortinvestor77","10 cents."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 2, 2019 9:28 PM","keyin","Die"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 4, 2019 3:51 PM","tklim","Floor price 0.005"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 4, 2019 9:03 PM","shortinvestor77","Before that price, i will buy more on 0.01 so that the rest 0.005 I let you to sapu, tklim. OK?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 4, 2019 9:18 PM","Nicholasming91","Damn sad.. used to be 0.3 .."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 10, 2019 6:50 AM","suesue7","Need to sell. No point keepin. This co shud werk harder."
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 11, 2019 7:26 PM","TomyamGong","Huat ahh!! 0.20 is coming"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 13, 2019 9:38 PM","husky88","Cham lor. Crash lor"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 16, 2019 10:41 AM","TomyamGong","I always believe in this company.. It never fails me"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Jan 17, 2019 2:51 PM","TomyamGong","goreng time !!"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 4, 2019 3:54 PM","keyin","Knn"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 11, 2019 12:33 PM","Nicholasming91","Pure goreng haha !"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 11, 2019 1:59 PM","keyin","Many people stuck at 0.3 above lo. Goreng people also loss lo"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 11, 2019 2:16 PM","Nicholasming91","Good na, now can goreng again and cabut"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 19, 2019 5:40 PM","Kingston1","When can goreng again?"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Feb 27, 2019 3:20 PM","tklim","Floor Price 0.005"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Mar 8, 2019 5:33 PM","TomyamGong","i have faith .. it will go up one day. just matter of time"
"https://klse.i3investor.com/servlets/forum/800004367.jsp?ftp=63","Mar 13, 2019 3:59 PM","tklim","Very very long term"
