"unisem_urls_link","unisem_urls_date_date","unisem_urls_date_user","unisem_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 14, 2018 5:10 PM","Syndicates","collect now then. big discount"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 15, 2018 9:57 PM","Syndicates","aiya all pre-conditions fulfilled. please la cannot go through one. want to collect in aggregate 50% from 24.28% you think easy? if at the end of the offer period offeror still cannot collect 50%, he has to return back all the shares he accepted. cannot receive money until the offer become unconditional.
and see today's price, if market think that the deal will go through, the price will not be here. it should be at least 3.20. because few days ago 2 out of 3 preconditions has fulfilled.
and looking at annual report, not much shareholder is holding more than 5%. all are long term investor. they want to keep it in fridge instead of realizing the profit.
some might even bought at 3.90. you think they will cut lost?"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 15, 2018 11:31 PM","verhansolution","Government should have taken over .."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 16, 2018 9:14 AM","hornbill","Syndicates seem you here objective to confuse people."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 16, 2018 10:15 AM","Syndicates","my point is true though. haha"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 16, 2018 10:24 AM","k6ii","walao..itu dia..3.2..."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 16, 2018 5:40 PM","T1T4N","As predicted."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 21, 2018 11:33 PM","michaelwong","Must break 3.30 first to achieve higher"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Nov 30, 2018 5:44 PM","Syndicates","As predicted"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 10, 2018 1:25 PM","mkmike","Can anyone enlighten me on this Conditional Voluntary Take-Over Offer at RM3.30? Why can't they just buy from the open market at a lower price?"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 10, 2018 1:25 PM","horriefic",""
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 11, 2018 11:05 AM","Bryant","Not agree with Syndicates at all. Since many investors are holding for long-term, their cost are definitely lower than 3.90. The easiest way is comparing annual report of previous two year to see the change of shareholdings. BTW for mkmike, it's not possible to buy from open market. First, the volume is very huge and will boost the price to even higher than 3.3. Besides, it will take a very long time to gather enough shares."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 12, 2018 10:19 AM","doubt","i am new here with minimum investment knowledge. i am just worry, read the offer letter and noted it will continue be listing after completion the take over offer. but is there any circumstances it will de-listing upon the completion? to accept the offer or just keep it? can someone to give comment? thank you."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 14, 2018 8:37 AM","hornbill","Advise to accept offer you can buy back anytime when price drop."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 18, 2018 2:54 PM","Syndicates","sky diving"
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 18, 2018 5:39 PM","Red Herring","Unisem has strong & solid biz fundamentals, hence to price taking private at RM3.30 seems at lower end. With price traded below RM3.00 at this juncture not bad to accumulate. However, the overall mkt sentiment does not favour to buy now, let us wait to see if the price drops to RM2.90 and lower....."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 18, 2018 7:34 PM","Syndicates","panic liao those big fund managers who are trying to speculate on this stock. so far no update on how much acceptance the offeror has received. when the day is approaching 27th yet no acceptance update, plan might scrapped off. revision of offer price is unlikely, as the china offeror is a listed company in china. cannot simply raise offer price without shareholder's approval."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 26, 2018 2:19 PM","hornbill","3.3 is good exit point. Bear market.."
"https://klse.i3investor.com/servlets/forum/800000751.jsp?ftp=72","Dec 26, 2018 5:10 PM","Bryant","People should notice Independent Financial Adviser suggests that the take over price is too low. As it will remain listed after take-over, I would say there are some potentials for price to go higher than 3.3."
