"vsolar_urls_link","vsolar_urls_date_date","vsolar_urls_date_user","vsolar_urls_date_comments"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jun 20, 2018 7:33 AM","mdesa5057","sleeping counter"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Aug 2, 2018 8:24 PM","stillloss","m3, vsolar , netx , fintec are under one group player?"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Sep 2, 2018 6:47 AM","Crasd123","Buy Nestle"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Sep 3, 2018 10:46 AM","Jasper Coo","Price will gap up this morning, good luck to all and enjoy the rollercoaster.... hehe"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Sep 5, 2018 10:45 AM","Lim Tek Wai","All stocks are green today.we may see minimal growth. Worth to invest"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Sep 6, 2018 10:23 AM","Jordan Khoo","Good stock, make huge profit !"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Oct 22, 2018 9:22 PM","Syndicates","Goleng Goleng"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Nov 16, 2018 11:10 AM","sokowanda","rubbish stock, gov pump money into solar. then it might benefit this vsolar?! then will i buy in vsolar, the answer is 'NO'. again this is super rubbish stock. see you in pn17"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 17, 2019 4:07 PM","bowman","Good news on the way? Waking up and shooting up unnoticed. Charts looking good. Line strongly above the cloud. Last high was 0.155 two years ago, so let's keep our fingers crossed, shall we?"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 17, 2019 4:08 PM","FaatihBinKanaan","vsolar worth it to buy in?"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 22, 2019 5:49 PM","Klse_faizan","Nice doji"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 23, 2019 10:23 AM","bowman","Looks like another false alarm."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 23, 2019 12:24 PM","Klse_faizan","http://www.theedgemarkets.com/article/vsolar-focus-re-business-expects..."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 23, 2019 4:16 PM","bowman","That's an old story. It may already not be relevant. One should ask how it will do in the next quarter. The last quarter it did not do too promising."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 24, 2019 10:41 AM","Woo Kok Keong","Give some hope for this stock....trust future renewables energy...I will sapu this stock at end market...."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 25, 2019 12:11 PM","shinchan326","Coming"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 25, 2019 1:51 PM","bowman","Just be careful when too many chasing limited stock base. So far this company has not shown any promising ventures. If you look at last quarter earnings, you will wonder why is it that red"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 29, 2019 12:33 PM","Bursa2019","waaaaaa
vsolar
still hidup ka ??"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 31, 2019 7:40 AM","Woo Kok Keong","Told u guy will coming back.... Hope it will be limit up"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Jan 31, 2019 9:40 AM","WoonDeWai","lets hope what you say becomes true"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 4, 2019 7:04 PM","SuperWisdom","This stock just hit my analysis.
TP at RM0.21 up to RM0.23 (or more) before 14th February 2019.
Thank you."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 7, 2019 6:56 PM","Woo Kok Keong","Tommorow may more up .... Hope so... I already standby sapu focus already ..."
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 7, 2019 6:57 PM","Woo Kok Keong","I also got sapu seacera.... Will be rush to 30sen"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 8, 2019 9:49 AM","Woo Kok Keong","All fast fast grab vsolar don't miss chance I am coming back here sapu may go to 18sen hahaha"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 8, 2019 11:13 AM","peanut2019","2nd half will go up again!"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 8, 2019 12:46 PM","Woo Kok Keong","All happy or not"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 8, 2019 3:08 PM","Woo Kok Keong","So boring n feel Abit dizzy"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 8, 2019 4:30 PM","caew","bump and dump! careful!"
"https://klse.i3investor.com/servlets/forum/800000076.jsp?ftp=82","Feb 12, 2019 11:06 AM","moneylailai","vsolar good?"
